seq,operation,bytes,latency_us,nprocs
0,bcast,4,0,16
1,reduce,4,16.94,16
2,allreduce,4,16.9392,16
3,scatter,4,0,16
4,alltoall,4,8.54368,16
5,p2p_ring,4,2.10167,16
6,bcast,8,0,16
7,reduce,8,16.9443,16
8,allreduce,8,16.9467,16
9,scatter,8,0.000865801,16
10,alltoall,8,8.63312,16
11,p2p_ring,8,2.10507,16
12,bcast,16,0,16
13,reduce,16,16.9534,16
14,allreduce,16,16.9529,16
15,scatter,16,0.0017316,16
16,alltoall,16,8.89054,16
17,p2p_ring,16,2.11013,16
18,bcast,32,0,16
19,reduce,32,16.9719,16
20,allreduce,32,16.9716,16
21,scatter,32,0.0034632,16
22,alltoall,32,9.31657,16
23,p2p_ring,32,2.12026,16
24,bcast,64,0,16
25,reduce,64,17.0088,16
26,allreduce,64,17.0088,16
27,scatter,64,4.85486,16
28,alltoall,64,28.295,16
29,p2p_ring,64,2.14052,16
30,bcast,128,0,16
31,reduce,128,17.1006,16
32,allreduce,128,17.1006,16
33,scatter,128,9.80794,16
34,alltoall,128,31.1623,16
35,p2p_ring,128,2.22362,16
36,bcast,256,0,16
37,reduce,256,17.3038,16
38,allreduce,256,17.3038,16
39,scatter,256,15.4396,16
40,alltoall,256,37.2181,16
41,p2p_ring,256,2.34734,16
42,bcast,512,9.11309,16
43,reduce,512,17.7105,16
44,allreduce,512,17.7105,16
45,scatter,512,22.4496,16
46,alltoall,512,55.1059,16
47,p2p_ring,512,2.97155,16
48,bcast,1024,9.88706,16
49,reduce,1024,27.5432,16
50,allreduce,1024,27.5432,16
51,scatter,1024,27.9117,16
52,alltoall,1024,81.2961,16
53,p2p_ring,1024,7.86531,16
54,bcast,2048,11.435,16
55,reduce,2048,39.1296,16
56,allreduce,2048,39.1296,16
57,scatter,2048,38.836,16
58,alltoall,2048,139.586,16
59,p2p_ring,2048,9.42688,16
60,bcast,4096,14.5309,16
61,reduce,4096,53.6875,16
62,allreduce,4096,53.6924,16
63,scatter,4096,60.6846,16
64,alltoall,4096,268.858,16
65,p2p_ring,4096,12.5516,16
66,bcast,16384,33.1063,16
67,reduce,16384,101.28,16
68,allreduce,16384,101.665,16
69,scatter,16384,193.515,16
70,alltoall,16384,1125.09,16
71,p2p_ring,16384,31.4285,16
72,bcast,65536,113.565,16
73,reduce,65536,258.899,16
74,allreduce,65536,258.903,16
75,scatter,65536,974.276,16
76,alltoall,65536,4751.86,16
77,p2p_ring,65536,92.2426,16
78,bcast,262144,978.741,16
79,reduce,262144,933.541,16
80,allreduce,262144,938.444,16
81,scatter,262144,4655.28,16
82,alltoall,262144,19409.1,16
83,p2p_ring,262144,337.916,16
84,bcast,524288,2289.46,16
85,reduce,524288,1851.96,16
86,allreduce,524288,1857.5,16
87,scatter,524288,9642.54,16
88,alltoall,524288,38911.1,16
89,p2p_ring,524288,665.535,16
90,bcast,1048576,4910.9,16
91,reduce,1048576,3824.82,16
92,allreduce,1048576,3831.26,16
93,scatter,1048576,19617.1,16
94,alltoall,1048576,77898.1,16
95,p2p_ring,1048576,1321,16
