seq,operation,bytes,latency_us,nprocs
0,bcast,4,0,16
1,reduce,4,17.76,16
2,allreduce,4,17.7592,16
3,scatter,4,0,16
4,alltoall,4,9.23368,16
5,p2p_ring,4,2.13084,16
6,bcast,8,0,16
7,reduce,8,17.7643,16
8,allreduce,8,17.7667,16
9,scatter,8,0.000865801,16
10,alltoall,8,9.32312,16
11,p2p_ring,8,2.1342,16
12,bcast,16,0,16
13,reduce,16,17.7734,16
14,allreduce,16,17.7729,16
15,scatter,16,0.0017316,16
16,alltoall,16,9.58054,16
17,p2p_ring,16,2.1393,16
18,bcast,32,0,16
19,reduce,32,17.7919,16
20,allreduce,32,17.7916,16
21,scatter,32,0.0034632,16
22,alltoall,32,10.0066,16
23,p2p_ring,32,2.14949,16
24,bcast,64,0,16
25,reduce,64,17.8288,16
26,allreduce,64,17.8288,16
27,scatter,64,5.45486,16
28,alltoall,64,30.3812,16
29,p2p_ring,64,2.16552,16
30,bcast,128,0,16
31,reduce,128,17.9206,16
32,allreduce,128,17.9206,16
33,scatter,128,10.6079,16
34,alltoall,128,33.3012,16
35,p2p_ring,128,2.2494,16
36,bcast,256,0,16
37,reduce,256,18.1238,16
38,allreduce,256,18.1238,16
39,scatter,256,16.4396,16
40,alltoall,256,39.3806,16
41,p2p_ring,256,2.37313,16
42,bcast,512,9.85181,16
43,reduce,512,18.5305,16
44,allreduce,512,18.5305,16
45,scatter,512,23.2496,16
46,alltoall,512,52.5219,16
47,p2p_ring,512,3.04644,16
48,bcast,1024,10.5712,16
49,reduce,1024,28.1632,16
50,allreduce,1024,28.1632,16
51,scatter,1024,28.7117,16
52,alltoall,1024,75.0476,16
53,p2p_ring,1024,7.99245,16
54,bcast,2048,12.0102,16
55,reduce,2048,40.1283,16
56,allreduce,2048,40.1309,16
57,scatter,2048,39.636,16
58,alltoall,2048,123.593,16
59,p2p_ring,2048,9.55367,16
60,bcast,4096,14.9109,16
61,reduce,4096,55.104,16
62,allreduce,4096,55.1141,16
63,scatter,4096,61.4846,16
64,alltoall,4096,222.95,16
65,p2p_ring,4096,12.6787,16
66,bcast,16384,34.3919,16
67,reduce,16384,100.514,16
68,allreduce,16384,100.76,16
69,scatter,16384,192.576,16
70,alltoall,16384,833.952,16
71,p2p_ring,16384,31.6621,16
72,bcast,65536,111.971,16
73,reduce,65536,246.258,16
74,allreduce,65536,246.542,16
75,scatter,65536,719.98,16
76,alltoall,65536,3299.46,16
77,p2p_ring,65536,93.8294,16
78,bcast,262144,577.732,16
79,reduce,262144,828.254,16
80,allreduce,262144,829.344,16
81,scatter,262144,3209.47,16
82,alltoall,262144,13166.5,16
83,p2p_ring,262144,343.185,16
84,bcast,524288,1385.42,16
85,reduce,524288,1602.53,16
86,allreduce,524288,1602.91,16
87,scatter,524288,7630.35,16
88,alltoall,524288,27795.5,16
89,p2p_ring,524288,671.066,16
90,bcast,1048576,3007.43,16
91,reduce,1048576,3151.79,16
92,allreduce,1048576,3152.12,16
93,scatter,1048576,17227.3,16
94,alltoall,1048576,54232.1,16
95,p2p_ring,1048576,1326.41,16
