seq,operation,bytes,latency_us,nprocs
0,bcast,4,0,16
1,reduce,4,16.9467,16
2,allreduce,4,16.9458,16
3,scatter,4,0,16
4,alltoall,4,8.68702,16
5,p2p_ring,4,2.06625,16
6,bcast,8,0,16
7,reduce,8,16.9509,16
8,allreduce,8,16.9533,16
9,scatter,8,0.000865801,16
10,alltoall,8,8.77646,16
11,p2p_ring,8,2.06963,16
12,bcast,16,0,16
13,reduce,16,16.9601,16
14,allreduce,16,16.9595,16
15,scatter,16,0.0017316,16
16,alltoall,16,9.03387,16
17,p2p_ring,16,2.07471,16
18,bcast,32,0,16
19,reduce,32,16.9786,16
20,allreduce,32,16.9783,16
21,scatter,32,0.0034632,16
22,alltoall,32,9.4599,16
23,p2p_ring,32,2.08484,16
24,bcast,64,0,16
25,reduce,64,17.0155,16
26,allreduce,64,17.0155,16
27,scatter,64,4.39086,16
28,alltoall,64,26.85,16
29,p2p_ring,64,2.10308,16
30,bcast,128,0,16
31,reduce,128,17.1073,16
32,allreduce,128,17.1073,16
33,scatter,128,9.07994,16
34,alltoall,128,27.7612,16
35,p2p_ring,128,2.18612,16
36,bcast,256,0,16
37,reduce,256,17.3105,16
38,allreduce,256,17.3105,16
39,scatter,256,13.7836,16
40,alltoall,256,29.6778,16
41,p2p_ring,256,2.30993,16
42,bcast,512,8.74498,16
43,reduce,512,17.7172,16
44,allreduce,512,17.7172,16
45,scatter,512,18.7376,16
46,alltoall,512,34.2552,16
47,p2p_ring,512,2.50417,16
48,bcast,1024,8.95101,16
49,reduce,1024,26.3899,16
50,allreduce,1024,26.3899,16
51,scatter,1024,20.4877,16
52,alltoall,1024,43.954,16
53,p2p_ring,1024,6.8469,16
54,bcast,2048,9.43053,16
55,reduce,2048,36.0349,16
56,allreduce,2048,36.0375,16
57,scatter,2048,23.988,16
58,alltoall,2048,68.9836,16
59,p2p_ring,2048,7.45008,16
60,bcast,4096,10.6286,16
61,reduce,4096,47.1709,16
62,allreduce,4096,47.1776,16
63,scatter,4096,30.9886,16
64,alltoall,4096,114.596,16
65,p2p_ring,4096,8.66694,16
66,bcast,16384,18.0583,16
67,reduce,16384,69.3015,16
68,allreduce,16384,69.4684,16
69,scatter,16384,72.9917,16
70,alltoall,16384,397.784,16
71,p2p_ring,16384,16.2246,16
72,bcast,65536,47.8157,16
73,reduce,65536,127.222,16
74,allreduce,65536,130.791,16
75,scatter,65536,242.793,16
76,alltoall,65536,1502.42,16
77,p2p_ring,65536,34.6615,16
78,bcast,262144,169.755,16
79,reduce,262144,373.459,16
80,allreduce,262144,376.812,16
81,scatter,262144,962.694,16
82,alltoall,262144,6187.23,16
83,p2p_ring,262144,112.188,16
84,bcast,524288,394.592,16
85,reduce,524288,715.538,16
86,allreduce,524288,718.233,16
87,scatter,524288,2066.07,16
88,alltoall,524288,12413.2,16
89,p2p_ring,524288,224.179,16
90,bcast,1048576,927.296,16
91,reduce,1048576,1375.34,16
92,allreduce,1048576,1377.84,16
93,scatter,1048576,4663.22,16
94,alltoall,1048576,25410,16
95,p2p_ring,1048576,458.283,16
